lap,laps_remaining,tire_age,compound_before,is_soft_before,is_medium_before,is_hard_before,next_compound
5,53,4,SOFT,1,0,0,HARD
29,29,24,HARD,0,0,1,HARD
14,44,13,MEDIUM,0,1,0,HARD
40,18,27,HARD,0,0,1,HARD
17,41,16,MEDIUM,0,1,0,HARD
41,17,24,HARD,0,0,1,HARD
14,44,13,MEDIUM,0,1,0,HARD
35,23,21,HARD,0,0,1,HARD
17,41,17,HARD,0,0,1,MEDIUM
41,17,25,MEDIUM,0,1,0,HARD
9,49,8,MEDIUM,0,1,0,HARD
34,24,25,HARD,0,0,1,HARD
8,50,8,MEDIUM,0,1,0,HARD
37,21,30,HARD,0,0,1,HARD
7,51,6,MEDIUM,0,1,0,HARD
33,25,26,HARD,0,0,1,HARD
9,49,8,MEDIUM,0,1,0,HARD
36,22,27,HARD,0,0,1,HARD
6,52,5,MEDIUM,0,1,0,HARD
27,31,21,HARD,0,0,1,HARD
6,52,6,SOFT,1,0,0,HARD
35,23,30,HARD,0,0,1,HARD
17,41,16,HARD,0,0,1,MEDIUM
35,23,18,MEDIUM,0,1,0,HARD
9,49,8,MEDIUM,0,1,0,HARD
16,42,7,HARD,0,0,1,HARD
42,16,26,HARD,0,0,1,HARD
7,51,6,SOFT,1,0,0,HARD
16,42,15,MEDIUM,0,1,0,HARD
41,17,25,HARD,0,0,1,HARD
8,50,7,MEDIUM,0,1,0,HARD
45,13,37,HARD,0,0,1,HARD
8,50,8,MEDIUM,0,1,0,HARD
36,22,28,HARD,0,0,1,HARD
9,49,8,MEDIUM,0,1,0,HARD
39,19,31,HARD,0,0,1,HARD
